coach_id,coach_url,short_name,long_name,dob,nationality_name,coach_face_url,nation_flag_url
2079,/coach/2079/gareth-taylor/,G. Taylor,Gareth Taylor,1973-02-25,Wales,,https://cdn.sofifa.net/flags/gb-wls.png
2535,/coach/2535/seb-hines/,S. Hines,Seb Hines,1988-05-29,England,https://cdn.sportmonks.com/images/soccer/players/7/2535.png,https://cdn.sofifa.net/flags/gb-eng.png
81090,/coach/81090/michal-kolomaznik/,M. Kolomaznik,Michal Kolomaznik,1976-07-20,Czech Republic,https://cdn.sportmonks.com/images/soccer/female_placeholder.png,https://cdn.sofifa.net/flags/cz.png
94303,/coach/94303/fabrice-abriel/,F. Abriel,Fabrice Abriel,1979-07-06,France,https://cdn.sportmonks.com/images/soccer/players/31/94303.png,https://cdn.sofifa.net/flags/fr.png
94451,/coach/94451/frederic-biancalani/,F. Biancalani,Frédéric Biancalani,1974-07-21,France,,https://cdn.sofifa.net/flags/fr.png
185548,/coach/185548/gerardo-garcia-leon/,G. García León,Gerardo García León,1974-07-12,Spain,https://cdn.sportmonks.com/images/soccer/female_placeholder.png,https://cdn.sofifa.net/flags/es.png
333232,/coach/333232/renee-slegers/,R. Slegers,Renee Slegers,1988-02-05,Netherlands,https://cdn.sportmonks.com/images/soccer/players/16/333232.png,https://cdn.sofifa.net/flags/nl.png
455803,/coach/455803/andries-jonker/,A. Jonker,Andries Jonker,1962-09-22,Netherlands,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/nl.png
456714,/coach/456714/jose-alberto-toril-rodriguez/,J. Toril Rodríguez,José Alberto Toril Rodríguez,1973-07-07,Spain,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/es.png
464820,/coach/464820/corinne-diacre/,C. Diacre,Corinne Diacre,1974-08-04,France,https://cdn.sportmonks.com/images/soccer/players/20/464820.png,https://cdn.sofifa.net/flags/fr.png
466607,/coach/466607/xiuquan-jia/,X. Jia,Xiuquan Jia,1963-03-23,China PR,https://cdn.sportmonks.com/images/soccer/players/15/466607.png,https://cdn.sofifa.net/flags/cn.png
529478,/coach/529478/yannick-chandioux/,Y. Chandioux,Yannick Chandioux,1975-09-01,France,,https://cdn.sofifa.net/flags/fr.png
4536521,/coach/4536521/manuel-jesus-cano-martin/,M. Cano Martín,Manuel Jesús Cano Martín,1975-08-26,Spain,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/es.png
10276077,/coach/10276077/tommy-stroot/,T. Stroot,Tommy Stroot,,Germany,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/de.png
10276180,/coach/10276180/robert-de-pauw/,R. de Pauw,Robert de Pauw,1981-07-24,Netherlands,https://cdn.sportmonks.com/images/soccer/female_placeholder.png,https://cdn.sofifa.net/flags/nl.png
15434001,/coach/15434001/jonas-eidevall/,J. Eidevall,Jonas Eidevall,1983-01-28,Sweden,,https://cdn.sofifa.net/flags/se.png
19282261,/coach/19282261/patrice-lair/,P. Lair,Patrice Lair,1961-06-16,France,,https://cdn.sofifa.net/flags/fr.png
25939309,/coach/25939309/rachel-saidi/,R. Saïdi,Rachel Saïdi,1988-06-08,France,https://cdn.sportmonks.com/images/soccer/female_placeholder.png,https://cdn.sofifa.net/flags/fr.png
25939833,/coach/25939833/jose-luis-sanchez-vera/,J. Sánchez Vera,José Luis Sánchez Vera,,Spain,https://cdn.sportmonks.com/images/soccer/female_placeholder.png,https://cdn.sofifa.net/flags/es.png
26295980,/coach/26295980/victor-martin-alba/,V. Martín Alba,Victor Martín Alba,,Spain,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/es.png
26296089,/coach/26296089/antonio-toledo-sanchez/,A. Toledo Sánchez,Antonio Toledo Sánchez,,Spain,https://cdn.sportmonks.com/images/soccer/female_placeholder.png,https://cdn.sofifa.net/flags/es.png
26313202,/coach/26313202/sandrine-soubeyrand/,S. Soubeyrand,Sandrine Soubeyrand,1973-08-16,France,https://cdn.sportmonks.com/images/soccer/players/18/26313202.png,https://cdn.sofifa.net/flags/fr.png
26313228,/coach/26313228/sebastien-joseph/,S. Joseph,Sébastien Joseph,1979-06-08,France,https://cdn.sportmonks.com/images/soccer/female_placeholder.png,https://cdn.sofifa.net/flags/fr.png
